State,EV,Party
AL,9,Republican
AK,3,Republican
AZ,11,Republican
AR,6,Republican
CA,55,Democratic
CO,9,Democratic
CT,7,Democratic
DE,3,Democratic
DC,3,Democratic
FL,29,Republican
GA,16,Republican
HI,3,Democratic
ID,4,Republican
IL,20,Democratic
IN,11,Republican
IA,6,Republican
KS,6,Republican
KY,8,Republican
LA,8,Republican
ME,3,Democratic
MD,10,Democratic
MA,11,Democratic
MI,16,Republican
MN,10,Democratic
MS,6,Republican
MO,10,Republican
MT,3,Republican
NE,2,Republican
NV,6,Democratic
NH,4,Democratic
NJ,14,Democratic
NM,5,Democratic
NY,29,Democratic
NC,15,Republican
ND,3,Republican
OH,18,Republican
OK,7,Republican
OR,7,Democratic
PA,20,Republican
RI,4,Democratic
SC,9,Republican
SD,3,Republican
TN,11,Republican
TX,36,Republican
UT,6,Republican
VT,3,Democratic
VA,13,Democratic
WA,8,Democratic
WV,5,Republican
WI,10,Republican
WY,3,Republican
